"Attribution: Attribution Number","Opportunity: Opportunity Name","Opportunity: Account Name","Partner Net ARR (converted) Currency","Partner Net ARR (converted)","Opportunity: Net ARR Atlas (Commission) Currency","Opportunity: Net ARR Atlas (Commission)","Opportunity: Net ARR Non-Atlas (Commission) (converted) Currency","Opportunity: Net ARR Non-Atlas (Commission) (converted)","Opportunity: zzDeprecate-Owner Area Group","Opportunity: zzDeprecate-Owner Regional Group","Partner","Split %","Role","Opportunity: Close Date","Opportunity: Fiscal Period","Opportunity: Stage","Status","Attribution: Created Date","Opportunity: Created Date"
"A-0710530","Caixa - Payment Hub - JG","CaixaBank SA","USD","157133.20","USD","0.00","USD","448952.00","EMEA","Iberia","Accenture (Spain)","35.00","Strategic","2/28/2026","Q1-2027","Scope","Pending Approval","2/27/2026","2/1/2024"
"A-0522750","The Travelers Indemnity Company BI-Atlas- Renewal Yr 4 - Run Rate - FY27-Q1","The Travelers Indemnity Company","USD","156887.77","USD","448250.76","USD","0.00","NAMER","New England","Accenture LLP","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0601590","IRS_EOps_IRPS_Crypto","Internal Revenue Service - Enterprise Operations (IRS EOPS)","USD","135817.50","USD","0.00","USD","388050.00","NAMER","US Public Sector","Accenture Federal Services Llc","35.00","Strategic","6/29/2026","Q2-2027","Business Case","Pending Approval","10/31/2025","9/16/2025"
"A-0522249","People Center, Inc. Rippling Atlas Pro Non-Prod, Rippling Platinum Production - Renewal - Run Rate - FY27-Q1","People Center, Inc.","USD","133547.56","USD","890317.07","USD","0.00","NAMER","NorCal 2","Tata Consultancy Services Ltd","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522203","SnapLogic Snaplogic - Atlas Migration - Renewal - Run Rate - FY27-Q1","SnapLogic","USD","133022.19","USD","886814.63","USD","0.00","NAMER","NorCal 2","Cognizant","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0518713","Rivian Automotive, LLC Rivian - Basecamp - Packaging Module - Renewal - Run Rate - FY27-Q1","Rivian Automotive, LLC","USD","112608.07","USD","750720.49","USD","0.00","NAMER","SoCal","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0589642","Nationwide - Enhanced Support for Speed Layer/Pay Mod","Nationwide Building Society","USD","111500.43","GBP","0.00","USD","0.00","EMEA","UK&I II","Accenture LLP","15.00","Influencing","6/12/2026","Q2-2027","Discovery","Approved","10/2/2025","8/18/2025"
"A-0711861","Ford Motor Company GCP MP (Private) - Ford Motor Company - Cosmos Migration - Atlas - Renewal ... - Run Rate - FY27-Q1","Ford Motor Company","USD","97986.41","USD","653242.76","USD","0.00","NAMER","Great Lakes","McKinsey & Company, Inc. USA","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/9/2026","5/2/2025"
"A-0522156","The Goldman Sachs Group, Inc. Goldman Sachs - Atlas 2024 - Renewal - Run Rate - FY27-Q1","The Goldman Sachs Group, Inc.","USD","96120.53","USD","640803.54","USD","0.00","NAMER","East II","McKinsey & Company, Inc. USA","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0710209","Woolworths Group Limited e-Commerce, WooliesX - Orders & Stock on Hand, Woolworths - CSA Tool,... - Run Rate - FY27-Q1","Woolworths Group Limited","USD","94694.43","USD","270555.51","USD","0.00","APAC","ANZ","TATA Sons","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","2/25/2026","5/2/2025"
"A-0622502","Charter Communications Operating, LLC CEIS, RTCCA - Renewal","Charter Communications Operating, LLC","USD","92885.54","USD","0.00","USD","619236.96","NAMER","SoCal","Capgemini U.S. LLC","15.00","Influencing","10/14/2026","Q3-2027","Research","Pending Approval","11/4/2025","11/4/2025"
"A-0543420","AT&T Inc. Avertack/Watchtower/Atlantis - MongoDB Atlas - Renewal - Run Rate - FY27-Q1","AT&T Inc.","USD","83766.41","USD","558442.75","USD","0.00","NAMER","South Central 2","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","6/10/2025","5/2/2025"
"A-0545332","AT&T Inc. Avertack/Watchtower/Atlantis - MongoDB Atlas - Renewal - Run Rate - FY27-Q1","AT&T Inc.","USD","83766.41","USD","558442.75","USD","0.00","NAMER","South Central 2","Tech Mahindra (Americas) Inc.","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","6/20/2025","5/2/2025"
"A-0524339","Stellantis VDP - Renewal - Run Rate - FY27-Q1","Stellantis","USD","82827.80","USD","552185.31","USD","0.00","EMEA","France","CAPGEMINI TECHNOLOGY SERVICES","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0701490","Charter Communications Operating, LLC CEIS - Renewal","Charter Communications Operating, LLC","USD","82564.93","USD","0.00","USD","550432.88","NAMER","SoCal","Capgemini U.S. LLC","15.00","Influencing","12/19/2026","Q4-2027","Research","Pending Approval","2/4/2026","2/4/2026"
"A-0523407","Allianz Technology - Switzerland Branch MongoDB Migration Support for Production System - Renewal - Run Rate - FY27-Q1","Allianz Technology - Switzerland Branch","USD","79593.49","EUR","448690.83","USD","0.00","EMEA","DACH I","Capgemini Deutschland Gmbh","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0712138","Allianz Technology - Switzerland Branch MongoDB Migration Support for Production System - Renewal - Run Rate - FY27-Q1","Allianz Technology - Switzerland Branch","USD","79593.49","EUR","448690.83","USD","0.00","EMEA","DACH I","Infosys Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/10/2026","5/2/2025"
"A-0711129","AT&T Inc. | ATS | Center of Excellence / TAM for On Prem Governance","AT&T Inc.","USD","76993.00","USD","0.00","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","3/31/2026","Q1-2027","Scope","Pending Approval","3/4/2026","1/14/2026"
"A-0522610","Marks and Spencer Group Plc Loyalty Platform Review, Marks and Spencer Group plc - Atlas MVP, ... - Run Rate - FY27-Q1","Marks and Spencer Group Plc","USD","75606.11","GBP","159091.88","USD","0.00","EMEA","UK&I I","Tata Consultancy Services Limited","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522848","EY Global Services Limited Multiple Projects - Renewal - Run Rate - FY27-Q1","EY Global Services Limited","USD","74188.23","USD","494588.18","USD","0.00","NAMER","East II","Hexaware Technologies, Inc.","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522738","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries DataHub - Renewal - Run Rate - FY27-Q1","Premera Blue Cross, on behalf of itself and for its affiliates and subsidiaries","USD","70285.44","USD","200815.53","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522753","The Travelers Indemnity Company BI-Atlas- Renewal Yr 4 - Run Rate - FY27-Q1","The Travelers Indemnity Company","USD","67237.61","USD","448250.76","USD","0.00","NAMER","New England","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0713318","INPS - Rinnovo NTSE + MongoDB on Demand","INPS","USD","67056.31","EUR","0.00","USD","113498.15","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","4/30/2026","Q1-2027","Scope","Approved","3/16/2026","7/28/2025"
"A-0575407","Aria Renewal 2026","Aria SpA","USD","63715.23","EUR","0.00","USD","227155.71","EMEA","EMEA PubSec","Accenture S.p.A.","25.00","Strategic","4/30/2026","Q1-2027","Research","Approved","8/5/2025","8/5/2025"
"A-0525235","Appsbroker JLR-IoT Fleet - Renewal - Run Rate - FY27-Q1","Jaguar Land Rover Automotive plc","USD","61741.46","USD","176404.16","USD","0.00","EMEA","UK&I I","Tata Consultancy Services Ltd","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0525261","Getnet Payments, S.L. Getnet Merchant - Renewal - Run Rate - FY27-Q1","Getnet Payments, S.L.","USD","56574.34","EUR","318925.38","USD","0.00","EMEA","Iberia","Capgemini Spain S.L","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0712401","Snam S.p.A. Impatto operativo, Telediagnostica impianti trattamento - Renewal - Run Rate - FY27-Q1","Snam S.p.A.","USD","53935.68","EUR","130307.37","USD","0.00","EMEA","EMEA PubSec","Accenture S.p.A.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/11/2026","5/2/2025"
"A-0591355","PricewaterhouseCoopers Global Licensing Services Corporation PwC Global Atlas Agreement - Renewal - Run Rate - FY27-Q1","PricewaterhouseCoopers Global Licensing Services Corporation","USD","51880.84","USD","345872.25","USD","0.00","NAMER","East II","Infosys Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","10/10/2025","10/10/2025"
"A-0523139","National Westminster Bank plc ODS Delivery, Payments Transformation- Renewal Yr 4 - Run Rate - FY27-Q1","National Westminster Bank plc","USD","49925.74","GBP","105054.74","USD","0.00","EMEA","UK&I II","Tata Consultancy Services Limited","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0258581","Pirelli Sistemi Informativi S.r.l. R&D - Renewal","Pirelli Sistemi Informativi S.r.l.","USD","49350.00","USD","0.00","USD","141000.00","EMEA","EMEA","Accenture S.p.A.","35.00","Strategic","12/31/2026","Q4-2027","Research","Pending Approval","2/4/2024","2/4/2024"
"A-0714958","AXA Seguros Generales GPS (Global Policy System), ODH (Operational Data Hub) - Run Rate - FY27-Q1","AXA Seguros Generales","USD","46601.10","EUR","112587.21","USD","0.00","EMEA","Iberia","Capgemini Spain S.L","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/30/2026","1/6/2026"
"A-0702459","Nationwide Building Society Multiple Projects - Renewal 2025 - Run Rate - FY27-Q1","Nationwide Building Society","USD","44025.76","GBP","92639.88","USD","0.00","EMEA","UK&I II","Accenture LLP","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Pending Approval","2/4/2026","5/2/2025"
"A-0625950","Intesa - Global Position - Select - Classic","Intesa Sanpaolo SpA","USD","42496.65","USD","0.00","USD","121419.00","EMEA","IMEA","Accenture S.p.A.","35.00","Strategic","6/30/2026","Q2-2027","Scope","Approved","11/21/2025","9/16/2025"
"A-0523137","AWS MP (Private Offer) - Sainsbury's Supermarkets Ltd Multiple Projects- Renewal Yr 4 - Run Rate - FY27-Q1","Sainsbury's Supermarkets Ltd","USD","42233.45","USD","281556.30","USD","0.00","EMEA","UK&I I","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0523136","AWS MP (Private Offer) - Sainsbury's Supermarkets Ltd Multiple Projects- Renewal Yr 4 - Run Rate - FY27-Q1","Sainsbury's Supermarkets Ltd","USD","42233.45","USD","281556.30","USD","0.00","EMEA","UK&I I","Tata Consultancy Services Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522363","Kohl's Inc Kohl's Merchandising & Marketing Applications - Renewal - Run Rate - FY27-Q1","Kohl's Inc","USD","36770.94","USD","245139.58","USD","0.00","NAMER","Central","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0524313","SNCF SNCF- MongoDB Atlas - Renewal - Run Rate - FY27-Q1","SNCF","USD","35490.50","EUR","85744.22","USD","0.00","EMEA","EMEA PubSec","CAPGEMINI TECHNOLOGY SERVICES","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522506","Teachers Insurance and Annuity Association College Retirement Equities Fund TIAA - 2025 Atlas ... - Run Rate - FY27-Q1","Teachers Insurance and Annuity Association College Retirement Equities Fund","USD","34885.54","USD","99672.98","USD","0.00","NAMER","Southeast","Accenture LLP","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0628501","Chubb INA Holdings Inc Speed 2 Market App - Renewal - Run Rate - FY27-Q1","Chubb INA Holdings Inc","USD","32559.69","USD","217064.60","USD","0.00","NAMER","East III","Cognizant Technology Solutions Ltd.","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","12/3/2025","5/2/2025"
"A-0523018","Vodafone Italia Spa App MyVodafone, DXL Atlas Migration - Renewal - Run Rate - FY27-Q1","Vodafone Italia Spa","USD","32033.10","EUR","77391.23","USD","0.00","EMEA","UK&I I","Accenture S.p.A.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0453376","Immigration & Checkpoints Authority of Singapore IPS - Renewal","Immigration & Checkpoints Authority of Singapore","USD","31484.25","USD","0.00","USD","89955.00","APAC","ASEAN 2","Accenture LLP","35.00","Strategic","1/1/2027","Q4-2027","Research","Pending Approval","2/4/2025","2/4/2025"
"A-0522635","Humana_Atlas Platinum Renewal - Run Rate - FY27-Q1","Humana Inc.","USD","31484.10","USD","209893.98","USD","0.00","NAMER","Southeast","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522634","Humana_Atlas Platinum Renewal - Run Rate - FY27-Q1","Humana Inc.","USD","31484.10","USD","209893.98","USD","0.00","NAMER","Southeast","Tata Consultancy Services Ltd","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0476114","Sainsbury's Supermarkets Ltd Multiple Projects - Renewal","Sainsbury's Supermarkets Ltd","USD","27597.60","USD","0.00","USD","0.00","EMEA","UK&I II","Accenture LLP","15.00","Influencing","1/31/2027","Q4-2027","Research","Pending Approval","2/13/2025","2/4/2024"
"A-0476113","Sainsbury's Supermarkets Ltd Multiple Projects - Renewal","Sainsbury's Supermarkets Ltd","USD","27597.60","USD","0.00","USD","0.00","EMEA","UK&I II","Tata Consultancy Services Limited","15.00","Influencing","1/31/2027","Q4-2027","Research","Pending Approval","2/13/2025","2/4/2024"
"A-0714505","AT&T Inc. Nimbus - Renewal - Run Rate - FY27-Q1","AT&T Inc.","USD","27173.87","USD","77639.64","USD","0.00","NAMER","South Central 2","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/25/2026","5/2/2025"
"A-0523763","Alaska Airlines, Inc. Digital Airline Platform - Renewal - Run Rate - FY27-Q1","Alaska Airlines, Inc.","USD","21400.62","USD","61144.64","USD","0.00","NAMER","SoCal","Accenture LLP","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0627497","Cigna Corporate Services, LLC Cigna - Renewal - Run Rate - FY27-Q1","Cigna Corporate Services, LLC","USD","20861.96","USD","139079.74","USD","0.00","NAMER","New England","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","12/1/2025","5/2/2025"
"A-0709387","LIC NextGen Business Platform Contract opp","Life Insurance Corporation of India","USD","19590.20","USD","0.00","USD","55972.00","APAC","IND ENT Hybrid 1","Infosys Limited","35.00","Strategic","3/20/2026","Q1-2027","Discovery","Approved","2/18/2026","12/3/2025"
"A-0523947","Toyota Connected Europe Data Platform - Renewal - Run Rate - FY27-Q1","Toyota Connected Europe","USD","19553.42","USD","55866.90","USD","0.00","EMEA","EMEA","Infosys Limited","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0519489","MAPFRE TECH S.A.U. TRON - Renewal - Run Rate - FY27-Q1","MAPFRE TECH S.A.U.","USD","18990.59","EUR","45880.82","USD","0.00","EMEA","Iberia","Capgemini Spain S.L","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522589","Nationwide Building Society Multiple Projects - Renewal 2025 - Run Rate - FY27-Q1","Nationwide Building Society","USD","18868.18","GBP","92639.88","USD","0.00","EMEA","UK&I II","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0550078","ITO Vector Search","Cognizant Technology Solutions (Formerly known as Trizetto Corporation)","USD","16200.00","USD","0.00","USD","108000.00","NAMER","SoCal","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","2/20/2026","Q1-2027","Scope","Approved","7/10/2025","10/25/2024"
"A-0517827","Citigroup FlexCommit - Run Rate - FY27-Q1","Citibank N A","USD","15967.49","USD","45621.41","USD","0.00","NAMER","East III","Tata Consultancy Services","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0593221","T-Mobile USA Inc. 3 ETS + DFS - Renewal - Run Rate - FY27-Q1","T-Mobile USA Inc.","USD","15942.61","USD","106284.07","USD","0.00","NAMER","SoCal","Infosys Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","10/10/2025","5/2/2025"
"A-0711865","CVS Pharmacy, Inc. Estate Management - Renewal - Run Rate - FY27-Q1","CVS Pharmacy, Inc.","USD","14041.61","USD","93610.73","USD","0.00","NAMER","New England","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/9/2026","5/2/2025"
"A-0535974","Bank of Galicia and Buenos Aires S.A. 2026 EA Renewal","Banco de Galicia y Buenos Aires S.A.","USD","14030.70","USD","0.00","USD","93538.00","NAMER","Spanish LATAM","Accenture LLP","15.00","Influencing","3/14/2026","Q1-2027","Technical Validation","Pending Approval","5/7/2025","5/7/2025"
"A-0711610","AWS MP (Private) Sociedad Estatal Correos y Telegrafos S.a. IoT Track - Renewal - Run Rate - FY27-Q1","Sociedad Estatal Correos y Telegrafos S.a.","USD","12537.41","USD","35821.18","USD","0.00","EMEA","Iberia","Capgemini Spain S.L","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/7/2026","5/2/2025"
"A-0712037","Sling TV Sling CMW - Renewal - Run Rate - FY27-Q1","Sling TV","USD","12492.47","USD","83283.15","USD","0.00","NAMER","SoCal","Infosys Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/9/2026","5/2/2025"
"A-0535581","AIG Global Operations, Inc. SCUP - Renewal","AIG Global Operations, Inc.","USD","11285.75","USD","0.00","USD","75238.33","NAMER","East II","Accenture LLP","15.00","Influencing","2/9/2026","Q1-2027","Closed Won","Approved","5/7/2025","5/7/2025"
"A-0536078","Navy Federal Credit Union Navy Federal Credit Union - DBA - Renewal","Navy Federal Credit Union","USD","10135.10","USD","0.00","USD","67567.36","Americas","Americas","Accenture LLP","15.00","Influencing","4/9/2026","Q1-2027","Technical Validation","Pending Approval","5/7/2025","5/7/2025"
"A-0522471","Massachusetts Mutual Life Insurance Company MM Renewal + New Workloads - Renewal - Run Rate - FY27-Q1","Massachusetts Mutual Life Insurance Company","USD","9600.19","USD","64001.29","USD","0.00","NAMER","New England","Infosys Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0592735","DaVita Inc. davita pro, Enterprise - Renewal - Run Rate - FY27-Q1","DaVita Inc.","USD","8788.64","USD","58590.93","USD","0.00","NAMER","West","Tata Consultancy Services","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","10/10/2025","5/2/2025"
"A-0713582","ATT - New Blue Marble AWS MP (Private offer) Deal - Run Rate - FY27-Q1","AT&T Comunicaciones Digitales S de RL","USD","8445.55","USD","24130.13","USD","0.00","NAMER","Spanish LATAM","Tech Mahindra (Americas) Inc.","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/17/2026","2/28/2026"
"A-0580344","Contract- idailybread - GCP new game - Run Rate - FY27-Q1","idailybread","USD","8172.44","USD","54482.94","USD","0.00","APAC","China","Nanjing WebEye Software Co., Ltd.","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","8/27/2025","8/27/2025"
"A-0522177","Pearson Education, Inc. BiteSize, Cybersec & Fraud - Renewal - Run Rate - FY27-Q1","Pearson Education, Inc.","USD","8039.11","USD","53594.09","USD","0.00","NAMER","East III","Cognizant Technology Solutions U.S. Corporation","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522698","Nedbank, Ltd M Atlas - FaceTec & API Marketplace - Renewal - Run Rate - FY27-Q1","Nedbank, Ltd M","USD","7699.62","USD","51330.77","USD","0.00","EMEA","IMEA","Tata Consultancy Services Ltd","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0523373","Cathay Pacific Airways Limited Cathay Pacific | Electronic Flight Folder (EFF) ATLAS - Renewal - Run Rate - FY27-Q1","Cathay Pacific Airways Limited","USD","6780.09","USD","45200.57","USD","0.00","APAC","HK-Taiwan","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522487","Liberty Mutual Insurance Company Liberty Mutual USRM DBaaS (2) - Renewal - Run Rate - FY27-Q1","Liberty Mutual Insurance Company","USD","6194.90","USD","41299.31","USD","0.00","NAMER","New England","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0523471","SITA Advanced Travel Solutions UK Ltd. API-PNR - Renewal - Run Rate - FY27-Q1","SITA Advanced Travel Solutions UK Ltd.","USD","5323.67","USD","15210.49","USD","0.00","EMEA","UK&I I","LTI Mindtree Limited","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522478","Technologent - Citizens Enterprise Renewal - Renewal - Run Rate - FY27-Q1","Citizens Financial Group","USD","5010.65","USD","33404.31","USD","0.00","NAMER","New England","Infosys Limited","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0626927","Contract-Postman Mobile App - Migration - Run Rate - FY27-Q1","bpost NV-SA","USD","4801.64","USD","13718.97","USD","0.00","EMEA","EMEA PubSec","Infosys Belgium SA","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Approved","11/27/2025","11/27/2025"
"A-0714705","Penske Logistics LLC MCP - Renewal - Run Rate - FY27-Q1","Penske Logistics LLC","USD","4525.76","USD","30171.71","USD","0.00","NAMER","Great Lakes","CAPGEMINI TECHNOLOGY SERVICES","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","3/26/2026","5/2/2025"
"A-0522485","Liberty Mutual Insurance Company Liberty Mutual GRS DBaaS (3) - Renewal - Run Rate - FY27-Q1","Liberty Mutual Insurance Company","USD","4305.67","USD","28704.45","USD","0.00","NAMER","New England","Accenture LLP","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0522484","Liberty Mutual Insurance Company Liberty Mutual GRS DBaaS (3) - Renewal - Run Rate - FY27-Q1","Liberty Mutual Insurance Company","USD","4305.67","USD","28704.45","USD","0.00","NAMER","New England","CAPGEMINI TECHNOLOGY SERVICES","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Approved","5/2/2025","5/2/2025"
"A-0452495","Sony Electronics Inc. Sony Pictures - Media Cloud Services - Renewal","Sony Electronics Inc.","USD","4192.04","USD","0.00","USD","27946.94","NAMER","SoCal","Tata Consultancy Services","15.00","Influencing","3/31/2026","Q1-2027","Technical Validation","Pending Approval","2/4/2025","2/4/2025"
